,Date,European Union,California,Québec,Ontario,New Zealand,Kazakhstan,South Korea,Switzerland,RGGI,Nova Scotia,United Kingdom,China,Shenzhen,Shanghai,Beijing,Guangdong,Tianjin,Hubei,Chongqing,Fujian
2,2005-01-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
3,2005-02-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
4,2005-03-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
5,2005-04-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
6,2005-05-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
7,2005-06-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
8,2005-07-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
9,2005-08-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
10,2005-09-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
11,2005-10-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
12,2005-11-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
13,2005-12-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
14,2005-01-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
15,2005-01-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
16,2005-01-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
17,2005-01-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
18,2005-01-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
19,2005-01-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
20,2005-01-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
21,2005-01-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
22,2005-01-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
23,2005-01-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
24,2005-01-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
25,2005-01-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
26,2005-01-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
27,2005-01-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
28,2005-01-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
29,2005-01-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
30,2005-01-29 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
31,2005-01-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
32,2005-01-31 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
33,2005-01-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
34,2005-02-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
35,2005-03-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
36,2005-04-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
37,2005-05-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
38,2005-06-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
39,2005-07-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
40,2005-08-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
41,2005-09-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
42,2005-10-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
43,2005-11-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
44,2005-12-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
45,2005-02-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
46,2005-02-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
47,2005-02-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
48,2005-02-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
49,2005-02-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
50,2005-02-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
51,2005-02-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
52,2005-02-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
53,2005-02-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
54,2005-02-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
55,2005-02-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
56,2005-02-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
57,2005-02-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
58,2005-02-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
59,2005-02-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
60,2005-02-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
61,2005-01-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
62,2005-02-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
63,2005-03-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
64,2005-04-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
65,2005-05-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
66,2005-06-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
67,2005-07-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
68,2005-08-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
69,2005-09-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
70,2005-10-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
71,2005-11-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
72,2005-12-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
73,2005-03-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
74,2005-03-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
75,2005-03-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
76,2005-03-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
77,2005-03-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
78,2005-03-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
79,2005-03-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
80,2005-03-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
81,2005-03-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
82,2005-03-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
83,2005-03-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
84,2005-03-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
85,2005-03-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
86,2005-03-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
87,2005-03-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
88,2005-03-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
89,2005-03-29 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
90,2005-03-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
91,2005-03-31 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
